Doc,Topic,Doc_ID
"Il ""profugo"" afgano aveva la bandiera dell'Isis in camera... depresso anche questo? CHI TACE È COMPLICE! http://www.ilpopulista.it/news/19-Luglio-2016/2953/l-ombra-dell-isis-in-germania--al-grido-di--allah-akbar--prende-i-passeggeri-di-un-treno-a-colpi-di-ascia.html …",64,31192
"Attacco terrorista a #Nizza, decine di morti. Ormai le preghiere non bastano più, occorrono le maniere forti.",64,31208
Finalmente anche il Corriere si accorge del pericolo islamico... http://www.corriere.it/cultura/16_luglio_11/galli-loggia-4c1802a2-46cd-11e6-991c-561dff04b946.shtml …,64,31222
Combattere l'ISIS a partire dalle fonti di denaro che lo armano: petrolio e immigrazione clandestina... VIDEO> https://www.facebook.com/salviniofficial/videos/10153882213838155/ …,64,31250
Islam religione di pace. pic.twitter.com/aOXecLSE1A,64,31254
"Ancora politici e giornalisti che hanno paura di usare aggettivo ISLAMICO per le stragi dell'ISIS. Paura, ipocrisia, complicità o stupidità?",64,31258
Ultima strage islamica: chi non conosceva il CORANO è stato torturato e poi ucciso. È questo il futuro di paura che vogliamo? #stopislam,64,31262
Ancora sangue innocente per mano dei TERRORISTI ISLAMICI. #Dacca pic.twitter.com/AwZMCVGCKy,64,31265
"Altro sangue innocente per mano dell'Isis, ma tutti (tranne Putin) dormono: Italia, Europa, Onu e Nato. Incapaci o complici? #Istanbul",64,31279
"L'ISIS, lo Stato Islamico, rivendica la strage negli Stati Uniti. Ma tranquilli, per la sinistra la religione non c'entra..... #Orlando",64,31416
"I carnefici dell'ISIS hanno bruciato vive 19 ragazze curde che si rifiutavano di diventare ""schiave sessuali"". pic.twitter.com/ltioWlJt57",64,31458
Un sindaco islamico a #Londra? Non mi stupisce. pic.twitter.com/fLqLjVFG9a,64,31937
#Salvini: L'ISIS e il terrorismo islamico sono un problema. Sarei pronto a sostenere chiunque contro questa MINACCIA! #ottoemezzo,64,32028
"#Salvini: In Tunisia hanno chiuso 80 moschee pericolose, qua se non si ha una moschea nel proprio comune si è sfigati... #Piazzapulita",64,32262
"#Salvini: C'è una parte di ISLAM che vuole colonizzare il MONDO, vuole imporre con la forza la sua LEGGE illiberale e il suo DIO! #virusrai2",64,32301
#Salvini: Qui il problema è il TERRORISMO ISLAMICO. Non ci sono colpe o GIUSTIFICAZIONI! #virusrai2,64,32302
"""Provo pietà umana anche per i kamikaze che si fanno esplodere"" dice il compagno Vauro. VERGOGNA! VIDEO> https://www.facebook.com/salviniofficial/videos/10153656702023155/ …",64,32313
"Maledetti assassini! No, che dico, Islam è religione di pace... #PrayForPakistan anche se preghiere non bastano più pic.twitter.com/WgNHNs0tfF",64,32339
"#Salvini: BASTA cedere alle pretese islamiche, la Mecca è da un'altra parte! #portaaporta pic.twitter.com/UCGpoCB4Oa",64,32366
#Salvini: Islam propone un modo di vita incompatibile con le libertà dell'Occidente.  #portaaporta,64,32370
"#Salvini: l'Islam cerca di imporre non solo una religione, ma un modo di vivere! A casa mia la donna ha stessi diritti del'uomo. #ballarò",64,32374
"#Salvini: Renzi diceva le stesse cose il giorno dopo le stragi di Parigi, e qualche genio regala 6 miliardi alla Turchia pro-Isis. #ballarò",64,32377
"Una ""studentessa islamica"" di 46 anni, a Palermo, secondo la Digos e la Procura sarebbe legata all'ISIS. #agorarai pic.twitter.com/NzlGkFX3vS",64,32515
Il signor Fuksas è spettacolare! Vuole le moschee perché ha un domestico islamico! E mi insulta. VIDEO> https://www.facebook.com/salviniofficial/videos/10153576181248155/ …,64,32710
